path,source,split,label,plant,disease,augmented,assigned_split
Data\Bean_Dataset\angular_leaf_spot\angular_leaf_spot_250.jpg,Bean_Dataset,,Bean - Angular Leaf Spot,Bean,Angular Leaf Spot,False,train
Data\Bean_Dataset\bean_rust\bean_rust_80.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_175.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_103.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_300.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_11.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_54.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_124.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_50.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_281.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\bean_rust\bean_rust_250.jpg,Bean_Dataset,,Bean - Rust,Bean,Rust,False,train
Data\Bean_Dataset\healthy\healthy_80.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_175.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_103.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_300.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_11.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_54.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_124.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_50.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_281.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Bean_Dataset\healthy\healthy_250.jpg,Bean_Dataset,,Bean - Healthy,Bean,Healthy,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_130426.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_210811.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_131110.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_213059.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_215833.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_123601.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_125311.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_125438.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_122229.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Cercospora leaf spot\IMG_20241101_123555.jpg,Black Gram Leaf,,Black Gram - Cercospora leaf spot,Black Gram,Cercospora leaf spot,False,train
Data\Black Gram Leaf\Healthy\IMG_20241101_225810.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\IMG_20241101_223826.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\IMG_20241102_112228.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\IMG_20241102_112941.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\20241104_115001.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\IMG_20241102_120003.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\20241104_112847.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\IMG20241104112253.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\IMG_20241102_120316.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Healthy\IMG_20241101_222656.jpg,Black Gram Leaf,,Black Gram - Healthy,Black Gram,Healthy,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_162529.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241101_120631.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_170111.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_184217.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_185901.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_182037.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241101_121117.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_164453.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_183541.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Insect\IMG_20241031_163141.jpg,Black Gram Leaf,,Black Gram - Insect,Black Gram,Insect,False,train
Data\Black Gram Leaf\Leaf Crinkle\IMG_20241031_162043.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\IMG_20241031_161503.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\20241104_155254.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\IMG_20241031_161520.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\IMG_20241031_160648.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\IMG20241104153510.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\20241104_155412.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\IMG_20241031_160954.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\IMG20241104155417.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Leaf Crinkle\20241104_155142.jpg,Black Gram Leaf,,Black Gram - Leaf Crinkle,Black Gram,Leaf Crinkle,False,train
Data\Black Gram Leaf\Yellow Mosaic\20241104_162111.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\IMG_20241101_142414.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\20241104_161802.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\IMG_20241101_142619.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\IMG20241104164418.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\IMG_20241031_122931.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\IMG_20241031_122745.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\IMG20241104163251.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\20241104_161453.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\Black Gram Leaf\Yellow Mosaic\20241104_165841.jpg,Black Gram Leaf,,Black Gram - Yellow Mosaic,Black Gram,Yellow Mosaic,False,train
Data\corn\Blight\Corn_Blight (224).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (879).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (196).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (649).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (666).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (978).jpg,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (853).jpg,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (397).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (255).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Blight\Corn_Blight (811).JPG,corn,,Corn - Blight,Corn,Blight,False,train
Data\corn\Common_Rust\Corn_Common_Rust (313).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (951).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (280).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (287).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (292).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (455).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (696).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (585).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (532).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Common_Rust\Corn_Common_Rust (1041).JPG,corn,,Corn - Common Rust,Corn,Common Rust,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (471).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (466).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (137).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (38).jpg,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (216).jpg,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (206).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (86).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (219).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (397).jpg,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Gray_Leaf_Spot\Corn_Gray_Spot (267).JPG,corn,,Corn - Gray Leaf Spot,Corn,Gray Leaf Spot,False,train
Data\corn\Healthy\Corn_Health (280).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (73).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (254).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (338).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (668).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (980).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (217).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (341).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (542).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\corn\Healthy\Corn_Health (511).jpg,corn,,Corn - Healthy,Corn,Healthy,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (86).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (95).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (274).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (5).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (117).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (244).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (54).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (195).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (88).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Cescospora Leaf Spot\Cescospora_leaf_spot  (275).jpg,Jute Leaf Disease Detection,,Jute - Cescospora Leaf Spot,Jute,Cescospora Leaf Spot,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (131).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (108).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (288).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (84).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (92).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (312).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (6).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (286).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (111).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Golden Mosaic\Golden_Mosaic (243).jpg,Jute Leaf Disease Detection,,Jute - Golden Mosaic,Jute,Golden Mosaic,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (239).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (66).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (70).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (221).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (220).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (116).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (80).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (14).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (246).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\Jute Leaf Disease Detection\Healthy Leaf\Healthy (49).jpg,Jute Leaf Disease Detection,,Jute - Healthy Leaf,Jute,Healthy Leaf,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0380.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0406.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0379.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0401.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0365.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0383.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0395.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0402.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0382.JPG,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Bacterial leaf blight\DSC_0385.jpg,rice_leaf_diseases,,Rice - Bacterial leaf blight,Rice,Bacterial leaf blight,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0114.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0332.JPG,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0113.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0307.JPG,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0100.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0117.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0301.JPG,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0323.JPG,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0116.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Brown spot\DSC_0119.jpg,rice_leaf_diseases,,Rice - Brown spot,Rice,Brown spot,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0320.JPG,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0512.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0319.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0507.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0293.JPG,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0327.JPG,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0501.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0508.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0322.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\rice_leaf_diseases\Leaf smut\DSC_0330.jpg,rice_leaf_diseases,,Rice - Leaf smut,Rice,Leaf smut,False,train
Data\watermelon\watermelon___anthracnose\IMG_4177.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4083.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4076.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4190.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4155.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4162.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4110.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4130.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4207.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___anthracnose\IMG_4084.jpg,watermelon,,Watermelon - Anthracnose,Watermelon,Anthracnose,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2442.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2347.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2376.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_3299.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2248.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_3356.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2387.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2342.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2315.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___downy_mildew\IMG_2299.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,train
Data\watermelon\watermelon___healthy\IMG_2806.jpg,watermelon,,Watermelon - Healthy,Watermelon,Healthy,False,train
Data\watermelon\watermelon___healthy\IMG_2899.jpg,watermelon,,Watermelon - Healthy,Watermelon,Healthy,False,train
Data\watermelon\watermelon___healthy\IMG_2524.jpg,watermelon,,Watermelon - Healthy,Watermelon,Healthy,False,train
